project_id,district_code,intervention_id,partner,start_date,planned_end_date,actual_end_date,cost_usd,baseline_risk_score,total_delay_days,achieved_outcome_score,realized_risk_reduction,delivered_on_time,achieved_min_outcome,community_engagement_score,post_project_audit_score,post_project_satisfaction_score
P00001,D-083,I06,CivicWorks Alliance,06-04-2022,10-02-2024,18-03-2024,2111400.0,45.41,37,84.63,0.418,0,1,80.83,57.82,54.82
P00002,D-016,I08,SolarRise Initiative,25-03-2021,09-09-2022,05-11-2022,264800.0,94.92,57,80.35,0.342,0,1,33.26,50.78,76.49
P00003,D-074,I05,WaterFront Implementers,05-04-2022,07-09-2022,27-09-2022,243700.0,52.72,20,38.97,0.473,1,1,50.4,77.69,46.88
P00004,D-003,I02,Horizon Resilience Group,06-03-2022,14-11-2023,30-11-2023,455000.0,93.4,16,65.8,0.057,1,1,39.52,42.9,56.46
P00005,D-109,I12,Horizon Resilience Group,08-08-2022,06-03-2024,22-04-2024,1728100.0,45.05,47,88.48,0.08,0,1,55.44,89.36,62.71
P00006,D-080,I16,TerraBuild Collective,13-10-2022,11-04-2024,15-07-2024,783400.0,40.96,95,77.31,0.205,0,1,62.7,77.43,71.76
P00007,D-101,I05,TerraBuild Collective,27-12-2021,07-05-2023,18-10-2023,602700.0,85.97,164,57.88,0.363,0,1,73.69,38.47,73.81
P00008,D-034,I02,CivicWorks Alliance,26-07-2021,05-02-2022,28-03-2022,2237300.0,58.62,51,48.6,0.229,0,1,53.4,37.01,67.35
P00009,D-020,I12,TerraBuild Collective,06-06-2023,07-10-2024,15-12-2024,486300.0,61.71,69,83.37,0.384,0,1,48.2,88.55,59.81
P00010,D-105,I12,EcoTrust Consortium,01-10-2021,23-05-2022,08-09-2022,381500.0,75.54,108,79.34,0.295,0,1,29.8,71.35,50.32
P00011,D-097,I14,GreenPath Solutions,08-12-2022,03-08-2024,31-10-2024,1228400.0,82.88,89,84.7,0.327,0,1,63.37,78.53,37.87
P00012,D-081,I13,NovaBridge Partners,10-06-2022,19-04-2023,26-04-2023,528400.0,75.85,7,76.88,0.066,1,0,71.71,55.15,54.14
P00013,D-119,I02,SafeGround Co-op,07-06-2021,07-02-2023,12-05-2023,1055600.0,85.02,94,64.44,0.288,0,1,63.97,48.73,40.67
P00014,D-108,I06,WaterFront Implementers,15-06-2022,13-12-2023,04-05-2024,470900.0,85.72,143,72.24,0.147,0,1,66.64,89.92,45.01
P00015,D-061,I03,WaterFront Implementers,26-06-2021,21-02-2023,15-03-2023,2064200.0,97.09,22,89.19,0.351,1,1,58.0,50.97,50.0
P00016,D-013,I06,NovaBridge Partners,05-06-2022,19-06-2023,20-07-2023,2465800.0,86.73,31,44.2,0.272,0,1,59.34,60.71,84.15
P00017,D-042,I03,AquaShield Foundation,13-11-2021,24-05-2023,23-09-2023,1409100.0,85.38,122,79.4,0.083,0,1,63.54,59.75,69.01
P00018,D-106,I05,EcoTrust Consortium,18-10-2022,19-09-2023,22-10-2023,1195000.0,93.73,33,33.32,0.106,0,0,34.88,52.75,70.47
P00019,D-106,I17,CivicWorks Alliance,17-05-2023,02-01-2024,06-03-2024,651500.0,96.42,64,46.47,0.331,0,1,30.61,70.25,64.59
P00020,D-091,I05,GreenPath Solutions,06-11-2022,15-03-2024,06-08-2024,294700.0,90.96,144,34.87,0.477,0,1,40.88,46.59,63.61
P00021,D-041,I01,WaterFront Implementers,30-06-2023,18-09-2024,01-03-2025,2400300.0,68.49,164,78.28,0.358,0,0,29.38,38.3,56.98
P00022,D-073,I15,Horizon Resilience Group,15-12-2021,08-10-2022,27-12-2022,2181400.0,58.84,80,89.28,0.205,0,1,70.64,63.32,40.31
P00023,D-037,I15,AquaShield Foundation,01-10-2021,03-06-2023,05-08-2023,524000.0,42.99,63,86.72,0.439,0,1,82.76,84.63,75.67
P00024,D-005,I11,Horizon Resilience Group,21-02-2023,31-12-2023,06-05-2024,2490700.0,67.54,127,82.74,0.274,0,0,48.59,60.15,47.04
P00025,D-091,I12,TerraBuild Collective,21-02-2021,05-05-2022,08-09-2022,1574300.0,89.73,126,70.35,0.179,0,0,31.45,42.37,48.22
P00026,D-033,I13,NovaBridge Partners,16-02-2021,30-08-2022,12-09-2022,1511600.0,51.48,13,63.19,0.083,1,1,70.86,50.38,84.45
P00027,D-063,I04,GreenPath Solutions,26-09-2023,01-06-2024,09-09-2024,1058400.0,98.22,100,63.47,0.215,0,0,61.15,57.08,37.01
P00028,D-043,I05,NovaBridge Partners,04-04-2023,29-12-2024,10-05-2025,1251100.0,75.77,132,60.93,0.198,0,1,34.75,89.48,71.97
P00029,D-024,I11,EcoTrust Consortium,29-04-2023,28-02-2025,14-07-2025,1326600.0,73.21,136,58.49,0.057,0,1,31.58,57.91,50.38
P00030,D-092,I01,SafeGround Co-op,01-05-2022,26-06-2023,10-12-2023,2000700.0,85.79,167,64.66,0.375,0,1,35.23,69.6,65.99
P00031,D-014,I13,GreenPath Solutions,22-04-2023,24-05-2024,01-06-2024,1516900.0,81.33,8,41.45,0.248,1,1,49.78,46.21,60.09
P00032,D-109,I16,TerraBuild Collective,24-12-2022,11-10-2023,20-02-2024,676900.0,59.18,132,69.73,0.286,0,1,35.39,85.17,52.12
P00033,D-115,I09,SafeGround Co-op,11-05-2022,22-04-2023,24-06-2023,841700.0,57.61,63,86.49,0.492,0,1,67.29,72.96,59.45
P00034,D-073,I12,EcoTrust Consortium,15-08-2023,18-10-2024,30-12-2024,480300.0,79.92,73,52.78,0.491,0,1,82.28,79.25,49.52
P00035,D-020,I03,NovaBridge Partners,05-08-2023,29-03-2025,12-09-2025,789800.0,68.27,167,42.12,0.292,0,1,66.77,42.55,65.78
P00036,D-094,I08,Horizon Resilience Group,21-02-2021,15-01-2023,13-03-2023,1667300.0,43.1,57,54.8,0.373,0,0,71.25,35.28,62.52
P00037,D-076,I06,SolarRise Initiative,31-10-2022,29-07-2024,28-11-2024,1696200.0,84.6,122,47.23,0.178,0,0,71.12,70.88,46.61
P00038,D-108,I02,GreenPath Solutions,04-03-2022,28-01-2023,06-02-2023,2493500.0,63.42,9,59.72,0.471,1,1,80.56,83.22,35.46
P00039,D-119,I04,NovaBridge Partners,19-10-2021,26-06-2023,07-12-2023,1449600.0,69.14,164,86.31,0.433,0,1,36.57,41.2,43.12
P00040,D-034,I09,GreenPath Solutions,15-01-2021,25-05-2022,08-08-2022,1505900.0,84.68,75,40.53,0.435,0,1,74.62,63.34,39.34
P00041,D-081,I04,GreenPath Solutions,24-05-2021,21-02-2023,14-05-2023,2352400.0,40.4,82,53.01,0.251,0,0,44.78,67.04,63.64
P00042,D-110,I12,Horizon Resilience Group,05-03-2021,01-12-2021,30-03-2022,905700.0,63.92,119,60.15,0.453,0,1,43.66,41.46,80.81
P00043,D-085,I12,SafeGround Co-op,15-08-2021,24-08-2022,27-09-2022,1299800.0,66.84,34,89.33,0.218,0,1,79.77,76.65,75.1
P00044,D-012,I07,Horizon Resilience Group,28-11-2022,19-07-2023,30-11-2023,1227500.0,81.52,134,34.69,0.304,0,0,57.86,62.8,63.64
P00045,D-096,I06,NovaBridge Partners,25-05-2023,06-04-2025,28-07-2025,467400.0,52.12,113,64.99,0.091,0,1,73.52,59.94,60.66
P00046,D-034,I02,EcoTrust Consortium,19-04-2022,28-07-2023,02-08-2023,1110700.0,88.17,5,74.75,0.31,1,0,45.67,38.51,84.71
P00047,D-005,I03,WaterFront Implementers,02-02-2021,21-04-2022,03-08-2022,614000.0,47.99,104,68.49,0.378,0,1,47.47,84.02,57.43
P00048,D-018,I13,SolarRise Initiative,24-03-2021,04-01-2022,20-06-2022,2178700.0,47.0,167,89.57,0.227,0,0,83.72,80.92,72.81
P00049,D-024,I15,EcoTrust Consortium,11-03-2022,03-02-2024,10-05-2024,2093700.0,54.6,97,50.77,0.174,0,1,68.5,41.21,75.47
P00050,D-093,I01,Horizon Resilience Group,31-07-2021,06-03-2022,31-03-2022,1566100.0,66.34,25,70.32,0.442,1,0,27.65,59.14,61.99
P00051,D-026,I02,GreenPath Solutions,31-05-2022,20-08-2023,18-10-2023,2076300.0,83.16,59,49.13,0.319,0,1,44.24,51.6,42.16
P00052,D-116,I17,Horizon Resilience Group,28-02-2022,31-05-2023,09-08-2023,340200.0,95.96,70,82.78,0.46,0,1,50.63,62.26,83.61
P00053,D-009,I13,EcoTrust Consortium,23-11-2021,22-06-2023,04-10-2023,543200.0,62.21,104,75.26,0.263,0,1,43.04,73.92,75.29
P00054,D-018,I02,EcoTrust Consortium,27-02-2022,26-09-2023,15-02-2024,1419000.0,62.92,142,45.3,0.199,0,0,51.99,55.41,61.78
P00055,D-103,I07,TerraBuild Collective,02-10-2021,22-03-2023,10-09-2023,1591400.0,42.33,172,34.37,0.412,0,1,65.29,46.94,45.44
P00056,D-029,I11,CivicWorks Alliance,07-09-2023,19-02-2024,13-04-2024,2355500.0,96.76,54,37.04,0.5,0,1,39.56,68.24,45.23
P00057,D-018,I08,EcoTrust Consortium,26-11-2021,08-02-2023,16-05-2023,1272400.0,78.27,97,48.51,0.212,0,1,52.96,79.15,71.12
P00058,D-036,I11,Horizon Resilience Group,15-01-2022,30-04-2023,13-08-2023,305100.0,90.98,105,74.48,0.057,0,1,60.04,74.6,49.76
P00059,D-031,I11,Horizon Resilience Group,24-01-2022,01-03-2023,06-07-2023,1466500.0,95.66,127,50.25,0.394,0,1,68.41,75.68,58.04
P00060,D-107,I12,GreenPath Solutions,24-05-2021,05-03-2023,21-04-2023,2308900.0,71.99,47,68.51,0.076,0,0,75.8,86.99,68.41
P00061,D-036,I01,SolarRise Initiative,21-05-2021,11-06-2022,28-06-2022,1826500.0,40.54,17,60.34,0.218,1,1,65.01,68.91,59.16
P00062,D-060,I01,TerraBuild Collective,29-06-2022,21-01-2024,24-01-2024,238500.0,82.61,3,62.14,0.179,1,1,66.87,58.68,81.99
P00063,D-040,I04,AquaShield Foundation,21-06-2022,19-04-2023,19-06-2023,641400.0,71.06,61,78.91,0.17,0,1,47.38,57.33,63.25
P00064,D-074,I08,CivicWorks Alliance,02-12-2022,22-07-2023,05-01-2024,2480900.0,78.34,167,31.9,0.232,0,1,53.56,70.02,70.14
P00065,D-083,I16,SolarRise Initiative,23-10-2022,24-02-2024,17-07-2024,2447900.0,97.46,144,83.69,0.464,0,0,79.08,73.08,63.34
P00066,D-027,I02,AquaShield Foundation,02-12-2022,12-02-2024,30-06-2024,1496100.0,41.94,139,85.73,0.192,0,1,60.22,76.37,70.64
P00067,D-069,I03,CivicWorks Alliance,16-06-2021,17-07-2022,09-12-2022,2119700.0,62.96,145,83.79,0.199,0,1,33.4,89.37,71.21
P00068,D-050,I12,TerraBuild Collective,11-04-2021,29-11-2022,27-01-2023,2129000.0,60.09,59,76.14,0.48,0,1,71.41,36.63,48.67
P00069,D-064,I16,Horizon Resilience Group,31-12-2021,18-06-2023,06-10-2023,627200.0,74.57,110,52.8,0.397,0,0,39.79,39.04,48.4
P00070,D-059,I05,SolarRise Initiative,21-11-2021,24-04-2023,21-05-2023,410500.0,95.63,27,56.68,0.393,1,0,30.24,58.7,62.85
P00071,D-048,I14,AquaShield Foundation,27-01-2021,25-09-2021,24-12-2021,1474700.0,75.22,90,77.07,0.439,0,0,49.83,77.85,71.24
P00072,D-089,I08,SafeGround Co-op,18-06-2022,07-05-2023,29-10-2023,1075700.0,48.19,175,48.07,0.272,0,0,51.08,58.16,59.21
P00073,D-104,I12,CivicWorks Alliance,25-08-2023,30-09-2024,09-03-2025,1340300.0,76.38,160,57.47,0.111,0,0,48.74,81.29,53.99
P00074,D-015,I11,WaterFront Implementers,09-12-2021,22-07-2023,04-01-2024,2440700.0,48.03,166,49.24,0.476,0,0,43.85,88.05,83.44
P00075,D-085,I16,SafeGround Co-op,12-03-2023,13-04-2024,05-07-2024,1064900.0,88.17,83,53.58,0.101,0,1,60.53,65.01,69.09
P00076,D-075,I01,WaterFront Implementers,24-08-2023,22-08-2024,12-12-2024,2034700.0,89.05,112,34.15,0.432,0,1,65.38,42.65,50.14
P00077,D-071,I05,SolarRise Initiative,20-03-2023,06-09-2024,24-09-2024,1232900.0,75.28,18,64.93,0.29,1,1,77.18,58.01,36.84
P00078,D-033,I18,SafeGround Co-op,16-10-2022,10-06-2023,07-07-2023,1968600.0,78.8,27,51.3,0.341,1,0,84.02,72.26,54.98
P00079,D-026,I11,SolarRise Initiative,19-04-2021,26-09-2021,21-10-2021,795100.0,70.13,25,61.13,0.311,1,1,51.75,56.51,73.62
P00080,D-094,I17,GreenPath Solutions,20-12-2021,13-06-2022,14-10-2022,440500.0,64.54,123,87.7,0.102,0,1,33.5,52.15,57.77
P00081,D-023,I17,WaterFront Implementers,23-12-2021,21-09-2023,15-10-2023,1207800.0,81.11,24,49.13,0.185,1,1,31.91,81.7,67.4
P00082,D-051,I06,Horizon Resilience Group,13-06-2022,07-05-2023,25-09-2023,568300.0,73.03,141,87.51,0.154,0,1,36.07,70.23,56.61
P00083,D-057,I07,WaterFront Implementers,30-08-2022,10-04-2024,18-07-2024,210200.0,52.67,99,46.7,0.367,0,1,59.64,78.97,61.84
P00084,D-033,I11,Horizon Resilience Group,14-04-2022,05-01-2023,13-03-2023,1742600.0,68.88,67,87.95,0.191,0,1,48.55,41.28,52.6
P00085,D-034,I06,CivicWorks Alliance,30-07-2023,22-03-2024,10-09-2024,508100.0,46.95,172,48.32,0.132,0,1,55.65,58.0,41.89
P00086,D-080,I14,GreenPath Solutions,14-05-2022,13-04-2024,07-10-2024,2314100.0,94.91,177,40.39,0.125,0,0,36.23,81.31,65.97
P00087,D-015,I12,TerraBuild Collective,12-05-2022,25-02-2023,15-04-2023,2075000.0,96.87,49,60.33,0.273,0,1,49.94,81.19,59.43
P00088,D-083,I01,Horizon Resilience Group,27-10-2021,28-04-2022,07-07-2022,717100.0,57.03,70,76.84,0.305,0,1,54.72,63.09,63.64
P00089,D-027,I18,NovaBridge Partners,10-07-2022,18-01-2023,10-05-2023,1456600.0,98.4,112,36.14,0.424,0,1,42.86,89.96,57.49
P00090,D-106,I03,WaterFront Implementers,06-06-2023,02-03-2024,01-05-2024,682700.0,83.52,60,71.35,0.437,0,1,50.69,68.89,74.24
P00091,D-065,I07,TerraBuild Collective,07-08-2022,29-12-2023,13-05-2024,846500.0,71.79,136,49.42,0.367,0,0,41.04,82.19,84.27
P00092,D-051,I04,GreenPath Solutions,13-09-2023,06-04-2025,21-04-2025,2482700.0,91.16,15,37.61,0.44,1,0,67.68,80.57,73.07
P00093,D-051,I13,WaterFront Implementers,26-05-2021,25-07-2022,01-01-2023,1152700.0,66.67,160,68.02,0.446,0,0,55.94,50.3,81.82
P00094,D-016,I15,WaterFront Implementers,02-12-2021,03-05-2022,26-05-2022,1881100.0,67.05,23,69.85,0.211,1,0,57.07,46.98,56.48
P00095,D-066,I16,CivicWorks Alliance,27-11-2021,10-02-2023,07-05-2023,1458800.0,47.71,86,81.15,0.405,0,1,70.74,37.53,66.31
P00096,D-014,I15,TerraBuild Collective,08-05-2021,15-03-2022,05-07-2022,1250000.0,98.52,112,55.67,0.498,0,1,77.93,51.6,78.72
P00097,D-117,I09,AquaShield Foundation,02-11-2022,04-04-2024,07-06-2024,389600.0,79.21,64,68.93,0.073,0,1,68.56,76.54,56.46
P00098,D-120,I04,TerraBuild Collective,07-08-2021,07-05-2023,26-05-2023,505200.0,53.35,19,70.8,0.054,1,1,74.03,89.35,56.12
