project_id,district_code,intervention_id,partner,start_date,planned_end_date,actual_end_date,cost_usd,baseline_risk_score,total_delay_days,achieved_outcome_score,realized_risk_reduction,delivered_on_time,achieved_min_outcome,community_engagement_score,post_project_audit_score,post_project_satisfaction_score
P00099,D-042,I16,AquaShield Foundation,23-08-2021,16-02-2023,10-03-2023,1880800.0,46.04,22,48.8,0.446,1,0,71.41,76.42,41.66
P00100,D-051,I05,AquaShield Foundation,28-06-2022,03-12-2022,08-05-2023,1695000.0,65.97,156,73.35,0.333,0,0,49.7,72.76,78.0
P00101,D-120,I04,GreenPath Solutions,10-02-2023,13-11-2023,11-04-2024,1879000.0,60.74,150,55.76,0.406,0,0,63.68,48.65,65.05
P00102,D-030,I10,TerraBuild Collective,19-05-2023,19-08-2024,10-10-2024,1390800.0,70.06,52,74.87,0.183,0,0,78.87,87.51,59.74
P00103,D-100,I08,WaterFront Implementers,16-10-2022,26-05-2023,08-10-2023,2244100.0,40.71,135,51.67,0.192,0,1,75.34,58.15,62.32
P00104,D-040,I16,AquaShield Foundation,18-01-2021,25-08-2021,28-08-2021,803000.0,42.35,3,33.63,0.405,1,1,62.71,62.56,55.77
P00105,D-074,I13,AquaShield Foundation,18-10-2022,16-09-2024,31-01-2025,1616900.0,56.37,137,48.59,0.28,0,0,73.48,64.5,54.54
P00106,D-088,I03,CivicWorks Alliance,17-12-2022,05-08-2024,05-10-2024,333200.0,45.09,61,56.07,0.254,0,1,43.56,75.79,72.03
P00107,D-003,I01,GreenPath Solutions,20-12-2022,30-05-2023,10-07-2023,1341700.0,60.46,41,61.03,0.42,0,0,47.31,76.24,78.67
P00108,D-107,I04,TerraBuild Collective,10-12-2021,22-07-2023,29-09-2023,1404900.0,55.51,69,88.5,0.332,0,1,55.65,38.05,77.97
P00109,D-010,I12,GreenPath Solutions,19-09-2021,01-06-2022,25-10-2022,1750500.0,46.8,146,74.45,0.051,0,1,25.74,37.53,53.2
P00110,D-018,I05,GreenPath Solutions,12-08-2023,14-02-2024,04-07-2024,2047200.0,82.13,141,69.34,0.151,0,0,79.95,52.6,76.3
P00111,D-045,I12,AquaShield Foundation,30-05-2022,19-12-2022,02-02-2023,713300.0,70.43,45,32.76,0.23,0,1,76.96,77.54,50.53
P00112,D-120,I18,WaterFront Implementers,09-01-2021,20-06-2022,10-08-2022,870700.0,86.29,51,74.37,0.159,0,1,83.31,89.88,73.79
P00113,D-107,I18,Horizon Resilience Group,04-06-2021,07-11-2021,19-02-2022,255000.0,71.95,104,68.16,0.362,0,0,45.1,76.74,53.81
P00114,D-108,I10,AquaShield Foundation,30-07-2021,22-06-2023,21-08-2023,1165600.0,96.71,60,88.35,0.114,0,0,27.63,47.73,77.28
P00115,D-049,I12,WaterFront Implementers,25-09-2023,18-05-2024,13-10-2024,419800.0,47.88,148,79.2,0.084,0,1,51.1,88.03,46.84
P00116,D-110,I11,SolarRise Initiative,19-12-2022,16-04-2024,06-07-2024,1241300.0,53.78,81,86.61,0.111,0,1,31.54,40.81,57.48
P00117,D-002,I14,AquaShield Foundation,03-07-2022,01-12-2023,23-01-2024,1239400.0,67.34,53,81.15,0.091,0,1,43.25,73.76,65.17
P00118,D-066,I11,GreenPath Solutions,04-04-2021,13-05-2022,12-08-2022,1111400.0,42.89,91,47.93,0.419,0,0,82.13,82.0,62.8
P00119,D-075,I08,AquaShield Foundation,19-04-2022,29-12-2022,02-02-2023,479300.0,43.64,35,76.86,0.15,0,0,49.03,72.75,81.88
P00120,D-083,I09,AquaShield Foundation,23-01-2021,27-08-2021,16-10-2021,2275700.0,66.16,50,37.73,0.457,0,1,44.89,37.35,58.05
P00121,D-010,I14,SolarRise Initiative,24-05-2022,20-11-2022,25-02-2023,1771400.0,50.2,97,42.88,0.134,0,0,78.01,36.91,65.96
P00122,D-007,I10,WaterFront Implementers,26-02-2022,28-11-2023,13-12-2023,401800.0,62.6,15,55.15,0.339,1,1,39.95,89.67,62.18
P00123,D-053,I13,NovaBridge Partners,07-05-2022,12-02-2024,10-05-2024,2299200.0,69.64,88,53.3,0.131,0,1,38.14,84.27,73.93
P00124,D-056,I16,EcoTrust Consortium,02-01-2022,25-01-2023,06-03-2023,430300.0,78.76,40,45.99,0.417,0,1,28.35,89.8,45.97
P00125,D-118,I13,NovaBridge Partners,16-08-2023,08-07-2024,22-08-2024,744100.0,58.76,45,74.29,0.211,0,1,67.21,54.34,63.38
P00126,D-054,I07,WaterFront Implementers,10-07-2022,19-10-2023,02-12-2023,1328000.0,45.33,44,43.96,0.148,0,1,25.04,85.48,45.07
P00127,D-042,I11,GreenPath Solutions,30-07-2023,22-11-2024,07-12-2024,250400.0,74.61,15,85.03,0.398,1,1,76.64,87.83,53.68
P00128,D-116,I13,SafeGround Co-op,14-04-2021,21-08-2022,06-11-2022,942000.0,97.58,77,73.94,0.247,0,1,54.23,52.45,70.36
P00129,D-089,I12,Horizon Resilience Group,13-11-2022,08-10-2023,12-01-2024,905700.0,80.62,96,37.64,0.378,0,1,81.92,56.54,84.71
P00130,D-119,I02,GreenPath Solutions,09-09-2022,28-12-2023,01-06-2024,708100.0,73.37,156,86.2,0.113,0,1,39.28,89.03,43.39
P00131,D-095,I03,NovaBridge Partners,03-04-2022,11-09-2022,17-11-2022,682300.0,80.9,67,51.03,0.404,0,1,27.89,59.1,55.98
P00132,D-010,I14,WaterFront Implementers,22-06-2023,10-12-2024,09-03-2025,1455900.0,45.98,89,58.77,0.439,0,1,66.23,43.95,38.69
P00133,D-118,I02,CivicWorks Alliance,21-01-2021,12-05-2022,17-07-2022,2388800.0,44.38,66,40.21,0.219,0,1,57.82,84.4,39.66
P00134,D-022,I16,TerraBuild Collective,18-03-2022,30-01-2023,04-07-2023,2246400.0,49.27,155,36.08,0.142,0,0,66.83,74.71,71.5
P00135,D-110,I10,CivicWorks Alliance,01-09-2021,07-05-2022,19-05-2022,1103700.0,72.43,12,59.46,0.075,1,0,30.26,80.31,66.25
P00136,D-073,I07,AquaShield Foundation,27-01-2021,23-01-2022,07-03-2022,1667800.0,97.65,43,58.41,0.102,0,1,53.26,84.22,48.25
P00137,D-009,I18,SolarRise Initiative,09-07-2021,20-12-2022,27-03-2023,1049600.0,66.3,97,45.8,0.259,0,0,41.11,38.39,72.61
P00138,D-081,I04,AquaShield Foundation,16-11-2022,01-04-2024,17-08-2024,1152200.0,84.63,138,43.65,0.077,0,1,56.35,88.11,69.35
P00139,D-005,I16,SafeGround Co-op,22-06-2023,17-07-2024,15-11-2024,887400.0,63.29,121,81.24,0.066,0,1,56.01,66.43,84.14
P00140,D-054,I04,WaterFront Implementers,27-06-2021,14-05-2022,07-07-2022,2059500.0,47.44,54,55.4,0.495,0,1,84.84,69.5,76.71
P00141,D-110,I11,AquaShield Foundation,31-03-2021,29-09-2022,18-02-2023,1113900.0,59.24,142,46.57,0.256,0,1,72.19,69.27,61.13
P00142,D-093,I04,SolarRise Initiative,03-06-2021,31-03-2022,23-08-2022,1552200.0,84.74,145,86.38,0.466,0,1,31.06,50.74,61.78
P00143,D-106,I14,CivicWorks Alliance,28-01-2022,06-11-2023,31-03-2024,1600600.0,42.21,146,46.52,0.115,0,1,66.62,37.13,79.48
P00144,D-101,I08,TerraBuild Collective,03-02-2023,31-10-2024,07-01-2025,2263200.0,41.19,68,79.04,0.186,0,0,54.5,73.29,39.91
P00145,D-004,I08,GreenPath Solutions,04-11-2021,30-06-2023,20-09-2023,819700.0,64.59,82,68.73,0.135,0,0,74.44,75.75,72.97
P00146,D-004,I12,TerraBuild Collective,12-06-2022,20-04-2023,06-05-2023,915600.0,69.9,16,38.14,0.433,1,1,26.74,45.6,76.65
P00147,D-014,I02,Horizon Resilience Group,03-02-2021,13-10-2022,25-10-2022,2311500.0,81.57,12,46.44,0.421,1,1,63.12,41.81,36.53
P00148,D-016,I16,SafeGround Co-op,02-04-2022,27-02-2023,28-06-2023,1549800.0,60.64,121,39.81,0.453,0,1,66.33,50.68,54.33
P00149,D-013,I07,Horizon Resilience Group,25-10-2022,09-11-2023,30-04-2024,675500.0,78.44,173,60.8,0.439,0,1,65.93,61.08,41.62
P00150,D-040,I01,Horizon Resilience Group,16-09-2021,22-12-2022,04-06-2023,833400.0,92.83,164,81.1,0.257,0,0,43.13,63.64,66.18
P00151,D-091,I04,TerraBuild Collective,08-06-2022,23-11-2023,14-04-2024,1688900.0,75.93,143,47.91,0.099,0,0,84.3,70.23,78.07
P00152,D-110,I10,Horizon Resilience Group,03-06-2021,13-04-2023,13-06-2023,2269300.0,87.52,61,78.14,0.32,0,1,65.85,74.67,67.77
P00153,D-085,I09,SolarRise Initiative,19-02-2022,20-08-2023,29-08-2023,1541000.0,98.69,9,78.96,0.204,1,1,66.18,70.11,58.79
P00154,D-081,I12,EcoTrust Consortium,04-11-2021,24-09-2022,11-03-2023,2215900.0,50.69,168,35.86,0.108,0,0,73.5,76.96,44.15
P00155,D-063,I11,AquaShield Foundation,16-08-2021,11-01-2023,09-03-2023,1911700.0,58.12,57,77.29,0.199,0,0,42.64,81.82,58.53
P00156,D-015,I03,WaterFront Implementers,30-06-2023,13-06-2024,19-10-2024,475600.0,80.16,128,61.79,0.236,0,1,34.05,89.58,52.13
P00157,D-119,I15,GreenPath Solutions,20-11-2021,20-10-2022,09-11-2022,1321400.0,77.23,20,40.61,0.336,1,0,41.41,76.87,43.43
P00158,D-036,I06,WaterFront Implementers,16-03-2023,11-11-2023,14-12-2023,1613300.0,77.38,33,54.2,0.484,0,1,27.26,45.97,53.66
P00159,D-044,I11,EcoTrust Consortium,15-07-2021,30-12-2021,21-06-2022,209500.0,83.28,173,43.58,0.445,0,1,31.16,62.68,50.31
P00160,D-077,I02,CivicWorks Alliance,30-08-2023,19-11-2024,15-03-2025,1874000.0,75.19,116,50.27,0.45,0,1,45.56,84.58,52.96
P00161,D-111,I06,SolarRise Initiative,20-01-2021,07-02-2022,05-04-2022,1872500.0,47.74,57,74.04,0.315,0,0,47.0,70.78,36.87
P00162,D-117,I09,EcoTrust Consortium,01-10-2022,18-04-2023,17-09-2023,2487800.0,79.06,152,69.21,0.059,0,1,50.01,55.91,62.36
P00163,D-025,I05,Horizon Resilience Group,13-12-2022,21-05-2023,06-08-2023,1168000.0,45.96,77,61.22,0.33,0,1,50.13,84.42,60.58
P00164,D-041,I04,CivicWorks Alliance,27-04-2021,10-01-2022,17-05-2022,656900.0,51.79,127,45.78,0.285,0,0,67.21,51.24,36.97
P00165,D-105,I07,WaterFront Implementers,05-12-2021,30-12-2022,30-12-2022,229300.0,45.25,0,36.63,0.308,1,1,81.97,77.87,38.75
P00166,D-030,I04,CivicWorks Alliance,22-10-2022,12-11-2023,07-03-2024,2473900.0,57.47,116,57.86,0.095,0,0,27.37,50.98,75.08
P00167,D-002,I14,AquaShield Foundation,08-04-2021,21-10-2021,23-10-2021,2159600.0,79.14,2,40.23,0.211,1,1,62.31,83.32,39.65
P00168,D-065,I11,GreenPath Solutions,27-04-2021,08-11-2022,18-02-2023,2413300.0,56.04,102,53.14,0.433,0,1,63.93,78.83,40.65
P00169,D-074,I02,GreenPath Solutions,17-04-2021,14-11-2022,14-04-2023,1310200.0,73.57,151,56.29,0.325,0,1,61.68,82.44,79.0
P00170,D-107,I05,WaterFront Implementers,01-08-2023,11-05-2025,08-06-2025,2241500.0,66.0,28,33.8,0.345,1,0,77.1,63.86,72.18
P00171,D-030,I08,NovaBridge Partners,16-06-2022,01-05-2024,24-10-2024,1811300.0,45.62,176,69.7,0.162,0,1,65.58,56.17,76.95
P00172,D-089,I02,TerraBuild Collective,21-10-2022,27-08-2023,03-01-2024,2152300.0,90.26,129,82.16,0.084,0,1,39.45,88.36,37.52
P00173,D-079,I18,SolarRise Initiative,17-02-2022,14-03-2023,03-04-2023,1255900.0,87.27,20,56.89,0.435,1,1,32.12,62.36,67.67
P00174,D-035,I13,SolarRise Initiative,06-02-2021,06-07-2021,29-07-2021,2021100.0,96.83,23,68.25,0.451,1,1,64.28,60.09,52.04
P00175,D-012,I02,Horizon Resilience Group,15-05-2023,19-01-2025,13-04-2025,1488300.0,76.57,84,58.39,0.346,0,1,31.84,76.76,46.09
P00176,D-058,I12,CivicWorks Alliance,15-07-2022,29-05-2024,01-09-2024,1814800.0,42.7,95,39.85,0.113,0,1,68.29,40.88,65.54
P00177,D-111,I04,SolarRise Initiative,09-08-2021,19-04-2023,06-06-2023,1848600.0,46.36,48,54.87,0.467,0,1,60.33,77.47,57.53
P00178,D-116,I17,GreenPath Solutions,14-09-2023,05-07-2025,06-07-2025,1419800.0,42.87,1,86.12,0.427,1,1,55.5,85.66,43.86
P00179,D-091,I06,GreenPath Solutions,17-04-2021,15-10-2022,01-04-2023,1581300.0,92.08,168,60.25,0.223,0,1,79.95,76.93,48.68
P00180,D-058,I10,WaterFront Implementers,05-04-2023,16-01-2024,20-02-2024,1149300.0,81.3,35,74.91,0.185,0,1,76.64,74.15,81.78
P00181,D-011,I07,Horizon Resilience Group,03-08-2021,24-10-2022,17-04-2023,994200.0,79.67,175,88.88,0.343,0,1,55.23,73.19,51.12
P00182,D-100,I12,EcoTrust Consortium,07-05-2022,05-12-2023,25-05-2024,1920100.0,89.64,172,47.16,0.431,0,1,56.36,36.39,42.27
P00183,D-081,I02,Horizon Resilience Group,01-10-2021,11-08-2022,23-10-2022,1771800.0,48.64,73,33.72,0.403,0,0,57.47,54.73,57.63
P00184,D-109,I18,Horizon Resilience Group,31-01-2023,01-08-2024,30-09-2024,1375100.0,87.01,60,71.77,0.362,0,0,47.89,57.91,74.41
P00185,D-063,I11,EcoTrust Consortium,25-02-2021,07-08-2021,10-10-2021,667100.0,91.26,64,81.63,0.249,0,0,63.03,74.02,53.39
P00186,D-094,I18,SafeGround Co-op,21-07-2021,04-07-2022,17-09-2022,1232300.0,98.02,75,34.47,0.483,0,1,32.16,37.23,48.96
P00187,D-110,I05,GreenPath Solutions,22-08-2022,07-10-2023,08-10-2023,960300.0,81.87,1,39.29,0.119,1,1,28.05,86.28,65.78
P00188,D-116,I10,WaterFront Implementers,20-03-2023,17-08-2024,04-09-2024,2003300.0,58.75,18,43.2,0.133,1,0,55.31,57.88,61.85
P00189,D-120,I12,Horizon Resilience Group,24-06-2023,26-06-2024,12-12-2024,963300.0,61.29,169,43.11,0.389,0,1,84.8,80.3,84.06
P00190,D-044,I04,NovaBridge Partners,02-04-2022,03-05-2023,14-10-2023,1611500.0,76.65,164,87.53,0.357,0,1,79.96,86.97,54.29
P00191,D-113,I10,TerraBuild Collective,23-07-2023,01-06-2025,04-09-2025,1382900.0,70.02,95,59.21,0.183,0,1,44.22,39.53,39.8
P00192,D-090,I18,EcoTrust Consortium,08-01-2021,13-08-2021,05-10-2021,1741800.0,85.64,53,81.9,0.241,0,0,57.27,73.65,83.81
P00193,D-082,I14,AquaShield Foundation,04-02-2023,08-12-2023,14-12-2023,1256200.0,59.57,6,35.25,0.074,1,1,58.49,66.62,46.38
P00194,D-110,I14,SolarRise Initiative,07-04-2022,23-10-2023,10-02-2024,927700.0,62.98,110,37.1,0.053,0,1,28.79,76.03,37.28
P00195,D-118,I03,NovaBridge Partners,09-08-2023,03-06-2025,30-06-2025,866600.0,80.47,27,66.39,0.177,1,1,47.88,80.22,36.54
P00196,D-013,I18,Horizon Resilience Group,20-05-2021,21-11-2022,09-04-2023,878500.0,77.41,139,47.88,0.449,0,1,77.03,70.64,82.87
P00197,D-044,I18,EcoTrust Consortium,25-05-2021,25-02-2022,07-03-2022,211600.0,75.2,10,62.23,0.476,1,1,69.9,84.7,52.19
P00198,D-049,I17,GreenPath Solutions,14-06-2021,18-05-2022,13-07-2022,1618800.0,54.91,56,36.88,0.352,0,1,28.26,76.31,84.5
P00199,D-075,I15,EcoTrust Consortium,16-03-2021,06-06-2022,24-11-2022,354900.0,45.79,171,73.54,0.269,0,1,32.69,71.05,40.0
P00200,D-041,I03,Horizon Resilience Group,22-11-2021,31-08-2023,24-12-2023,955200.0,78.91,115,71.61,0.119,0,1,73.46,87.73,43.43
